,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
135,Top Mid Left Side,b1t,0,2,-2,0,302,-302,T,78
136,Back Left B Site From T's' Perspective,b1t,0,1,-1,0,96,-96,CT,78
137,Back Left B Site From T's' Perspective,b1t,0,0,0,0,0,0,T,78
138,Arch,b1t,3,2,1,238,254,-16,CT,78
139,Arch,b1t,0,0,0,0,0,0,T,78
140,Market Window Peek,b1t,0,1,-1,0,100,-100,CT,78
141,Market Window Peek,b1t,0,0,0,0,0,0,T,78
142,A Ramp,b1t,0,0,0,0,0,0,CT,78
143,A Ramp,b1t,3,1,2,326,249,77,T,78
144,Leftside Connector,b1t,0,1,-1,0,109,-109,CT,78
145,Leftside Connector,b1t,0,0,0,0,0,0,T,78
146,Underneath B apps plat,b1t,0,1,-1,98,71,27,CT,78
147,Underneath B apps plat,b1t,0,0,0,0,0,0,T,78
148,Catwalk Connector Peek,b1t,0,0,0,0,0,0,CT,78
149,Catwalk Connector Peek,b1t,1,0,1,100,0,100,T,78
150,A Site Exposed to Stairs Connector Cat,b1t,0,1,-1,90,82,8,CT,78
151,A Site Exposed to Stairs Connector Cat,b1t,2,0,2,167,71,96,T,78
152,Underpass,b1t,0,0,0,0,0,0,CT,78
153,Underpass,b1t,1,1,0,160,111,49,T,78
154,Deep Catwalk,b1t,1,1,0,4,100,-96,CT,78
155,Deep Catwalk,b1t,0,0,0,0,0,0,T,78
156,A Site,b1t,0,0,0,0,0,0,CT,78
157,A Site,b1t,1,1,0,132,151,-19,T,78
158,Catwalk T Aparments Peek,b1t,0,0,0,97,0,97,CT,78
159,Catwalk T Aparments Peek,b1t,0,1,-1,0,40,-40,T,78
160,Sandwhich,b1t,0,0,0,0,0,0,CT,78
161,Sandwhich,b1t,2,1,1,185,75,110,T,78
162,market,b1t,0,0,0,0,0,0,CT,78
163,market,b1t,1,0,1,100,0,100,T,78
164,Close Right Market Window,b1t,0,0,0,0,0,0,CT,78
165,Close Right Market Window,b1t,0,0,0,0,0,0,T,78
166,Stairs Palace Peek,b1t,0,1,-1,0,100,-100,CT,78
167,Stairs Palace Peek,b1t,0,0,0,0,0,0,T,78
168,Deep T Apps,b1t,0,0,0,0,0,0,CT,78
169,Deep T Apps,b1t,0,0,0,0,0,0,T,78
170,Close Market door,b1t,1,1,0,25,103,-78,CT,78
171,Close Market door,b1t,0,0,0,0,0,0,T,78
172,Safe Plant B Site,b1t,0,0,0,0,0,0,CT,78
173,Safe Plant B Site,b1t,0,0,0,0,0,0,T,78
174,Left Side corner deep jungle,b1t,0,0,0,0,0,0,CT,78
175,Left Side corner deep jungle,b1t,0,1,-1,0,49,-49,T,78
176,Right Side Connector,b1t,2,1,1,118,87,31,CT,78
177,Right Side Connector,b1t,1,0,1,116,88,28,T,78
178,T Deep apps,b1t,0,1,-1,21,100,-79,CT,78
179,T Deep apps,b1t,0,0,0,0,0,0,T,78
180,Bench,b1t,3,1,2,98,112,-14,CT,78
181,Bench,b1t,1,0,1,51,0,51,T,78
182,Middle Bench,b1t,0,0,0,0,0,0,CT,78
183,Middle Bench,b1t,0,1,-1,64,100,-36,T,78
184,T Spawn A Ramp,b1t,0,0,0,0,0,0,CT,78
185,T Spawn A Ramp,b1t,0,0,0,0,38,-38,T,78
186,Deep CT,b1t,0,0,0,0,0,0,CT,78
187,Deep CT,b1t,0,0,0,0,0,0,T,78
188,CT Left Side,b1t,0,0,0,0,0,0,CT,78
189,CT Left Side,b1t,0,0,0,0,0,0,T,78
190,Bottom Connector,b1t,0,0,0,0,9,-9,CT,78
191,Bottom Connector,b1t,0,0,0,0,0,0,T,78
192,Deep T Apps Underpass STairs,b1t,0,0,0,0,0,0,CT,78
193,Deep T Apps Underpass STairs,b1t,0,1,-1,33,100,-67,T,78
194,Ladder Room Catwalk Side,b1t,0,1,-1,26,100,-74,CT,78
195,Ladder Room Catwalk Side,b1t,0,0,0,0,18,-18,T,78
196,Snipers Nest,b1t,1,1,0,110,102,8,CT,78
197,Snipers Nest,b1t,0,0,0,0,0,0,T,78
198,Connector behind box,b1t,0,0,0,0,0,0,CT,78
199,Connector behind box,b1t,0,1,-1,22,103,-81,T,78
200,Bottom Stairs,b1t,0,0,0,30,13,17,CT,78
201,Bottom Stairs,b1t,5,0,5,330,83,247,T,78
202,Deep T Spawn T Ramp,b1t,0,0,0,0,0,0,CT,78
203,Deep T Spawn T Ramp,b1t,0,0,0,0,0,0,T,78
204,Top Mid,b1t,0,0,0,0,0,0,CT,78
205,Top Mid,b1t,0,1,-1,22,44,-22,T,78
206,Top Mid Right Side,b1t,0,1,-1,0,100,-100,CT,78
207,Top Mid Right Side,b1t,0,0,0,0,0,0,T,78
208,Right Side Platform,b1t,1,0,1,100,0,100,CT,78
209,Right Side Platform,b1t,0,0,0,0,0,0,T,78
210,CT Side Apps,Perfecto,0,0,0,0,0,0,CT,78
211,CT Side Apps,Perfecto,4,3,1,471,432,39,T,78
212,Left Side Platform,Perfecto,0,1,-1,90,35,55,CT,78
213,Left Side Platform,Perfecto,3,4,-1,313,351,-38,T,78
214,Ticketbooth ,Perfecto,0,1,-1,58,100,-42,CT,78
215,Ticketbooth ,Perfecto,0,0,0,0,0,0,T,78
216,Catwalk T Aparments Peek,Perfecto,0,1,-1,52,75,-23,CT,78
217,Catwalk T Aparments Peek,Perfecto,0,1,-1,0,34,-34,T,78
218,Back B Site Peeking Apps/Plat,Perfecto,3,1,2,380,100,280,CT,78
219,Back B Site Peeking Apps/Plat,Perfecto,1,1,0,114,79,35,T,78
220,Default A,Perfecto,2,1,1,43,77,-34,CT,78
221,Default A,Perfecto,0,1,-1,22,99,-77,T,78
222,Deep Jungle,Perfecto,1,1,0,126,68,58,CT,78
223,Deep Jungle,Perfecto,1,1,0,100,90,10,T,78
224,Top Van,Perfecto,0,1,-1,0,39,-39,CT,78
225,Top Van,Perfecto,1,0,1,16,26,-10,T,78
226,Catwalk Plant B Site,Perfecto,0,0,0,5,24,-19,CT,78
227,Catwalk Plant B Site,Perfecto,1,2,-1,97,200,-103,T,78
228,Stairs Palace Peek,Perfecto,0,1,-1,0,100,-100,CT,78
229,Stairs Palace Peek,Perfecto,1,1,0,110,51,59,T,78
230,Close Market door,Perfecto,0,1,-1,0,73,-73,CT,78
231,Close Market door,Perfecto,1,0,1,17,0,17,T,78
232,Mid Close Connector,Perfecto,0,1,-1,0,100,-100,CT,78
233,Mid Close Connector,Perfecto,0,0,0,0,0,0,T,78
234,Deep Catwalk,Perfecto,1,1,0,141,150,-9,CT,78
235,Deep Catwalk,Perfecto,1,1,0,100,100,0,T,78
236,B Bombsite Cross to Catwalk,Perfecto,1,1,0,272,100,172,CT,78
237,B Bombsite Cross to Catwalk,Perfecto,2,1,1,57,43,14,T,78
238,Back Left B Site From T's' Perspective,Perfecto,0,0,0,119,27,92,CT,78
239,Back Left B Site From T's' Perspective,Perfecto,0,0,0,0,0,0,T,78
240,B site Market Plant,Perfecto,0,1,-1,42,76,-34,CT,78
241,B site Market Plant,Perfecto,0,0,0,0,0,0,T,78
242,Deep Palace,Perfecto,0,0,0,0,0,0,CT,78
243,Deep Palace,Perfecto,0,2,-2,0,200,-200,T,78
244,A Site,Perfecto,0,0,0,0,0,0,CT,78
245,A Site,Perfecto,1,0,1,100,0,100,T,78
246,Bench,Perfecto,2,1,1,113,160,-47,CT,78
247,Bench,Perfecto,1,0,1,100,0,100,T,78
248,Market Window Peek,Perfecto,0,1,-1,0,100,-100,CT,78
249,Market Window Peek,Perfecto,0,0,0,0,0,0,T,78
250,CT Catwalk,Perfecto,0,0,0,0,0,0,CT,78
251,CT Catwalk,Perfecto,0,0,0,0,0,0,T,78
252,Underneath B apps plat,Perfecto,0,0,0,49,0,49,CT,78
253,Underneath B apps plat,Perfecto,0,0,0,57,0,57,T,78
254,T Palace Stairs Peek,Perfecto,0,0,0,0,0,0,CT,78
255,T Palace Stairs Peek,Perfecto,1,0,1,100,87,13,T,78
256,Top Mid Left Side,Perfecto,0,1,-1,0,100,-100,CT,78
257,Top Mid Left Side,Perfecto,0,0,0,0,0,0,T,78
258,market,Perfecto,0,1,-1,0,100,-100,CT,78
259,market,Perfecto,1,0,1,39,0,39,T,78
260,CT Left Side,Perfecto,0,0,0,93,26,67,CT,78
261,CT Left Side,Perfecto,0,0,0,0,0,0,T,78
262,A Ramp,Perfecto,0,0,0,0,0,0,CT,78
263,A Ramp,Perfecto,0,1,-1,34,101,-67,T,78
264,Leftside Connector,Perfecto,0,0,0,0,0,0,CT,78
265,Leftside Connector,Perfecto,0,0,0,0,0,0,T,78
266,Triple Box,Perfecto,0,1,-1,0,123,-123,CT,78
267,Triple Box,Perfecto,1,0,1,15,0,15,T,78
268,Close Right Market Window,Perfecto,0,0,0,0,0,0,CT,78
269,Close Right Market Window,Perfecto,0,0,0,0,0,0,T,78
270,Arch,Perfecto,0,1,-1,88,100,-12,CT,78
271,Arch,Perfecto,0,0,0,0,0,0,T,78
272,Deep T Apps,Perfecto,0,0,0,0,0,0,CT,78
273,Deep T Apps,Perfecto,2,1,1,200,267,-67,T,78
274,Top Connector,Perfecto,0,0,0,0,0,0,CT,78
275,Top Connector,Perfecto,0,0,0,29,0,29,T,78
276,Underpass,Perfecto,0,0,0,0,0,0,CT,78
277,Underpass,Perfecto,0,1,-1,36,92,-56,T,78
278,Murder Hole,Perfecto,0,0,0,0,0,0,CT,78
279,Murder Hole,Perfecto,0,1,-1,0,53,-53,T,78
280,Snipers Nest,Perfecto,1,0,1,100,0,100,CT,78
281,Snipers Nest,Perfecto,0,0,0,0,0,0,T,78
282,BoatHouse,Perfecto,0,0,0,0,0,0,CT,78
283,BoatHouse,Perfecto,0,1,-1,0,73,-73,T,78
284,B Site Default Plant,Perfecto,0,1,-1,57,100,-43,CT,78
285,B Site Default Plant,Perfecto,1,0,1,46,0,46,T,78
286,Top STairs,Perfecto,0,0,0,0,0,0,CT,78
287,Top STairs,Perfecto,0,1,-1,35,100,-65,T,78
288,A Site Exposed to Stairs Connector Cat,Perfecto,0,0,0,0,0,0,CT,78
289,A Site Exposed to Stairs Connector Cat,Perfecto,0,0,0,121,6,115,T,78
290,Bottom Stairs,Perfecto,0,0,0,0,0,0,CT,78
291,Bottom Stairs,Perfecto,1,1,0,225,159,66,T,78
292,Connector behind box,Perfecto,2,1,1,242,100,142,CT,78
293,Connector behind box,Perfecto,0,0,0,0,0,0,T,78
294,Close A Ramp,Perfecto,0,0,0,0,0,0,CT,78
295,Close A Ramp,Perfecto,0,1,-1,0,100,-100,T,78
296,Right Side Snipers Nest,Perfecto,1,0,1,100,0,100,CT,78
297,Right Side Snipers Nest,Perfecto,0,0,0,0,0,0,T,78
298,Balcony Boaxes,Perfecto,0,0,0,0,0,0,CT,78
299,Balcony Boaxes,Perfecto,2,1,1,173,100,73,T,78
300,CT Spawn,Perfecto,0,1,-1,0,100,-100,CT,78
301,CT Spawn,Perfecto,0,0,0,0,0,0,T,78
302,Under balcony,Perfecto,0,0,0,0,0,0,CT,78
303,Under balcony,Perfecto,0,0,0,0,0,0,T,78
304,Left Side corner deep jungle,Perfecto,0,0,0,0,0,0,CT,78
305,Left Side corner deep jungle,Perfecto,0,0,0,0,0,0,T,78
306,CT Outside Market,Perfecto,0,1,-1,0,92,-92,CT,78
307,CT Outside Market,Perfecto,0,0,0,0,0,0,T,78
308,Right Side Platform,Perfecto,1,0,1,88,65,23,CT,78
309,Right Side Platform,Perfecto,0,0,0,0,0,0,T,78
310,Flowerpot CT,Perfecto,0,0,0,0,0,0,CT,78
311,Flowerpot CT,Perfecto,0,1,-1,0,100,-100,T,78
312,Bottom Stairs,Boombl4,0,4,-4,30,468,-438,CT,78
313,Bottom Stairs,Boombl4,0,3,-3,99,275,-176,T,78
314,A Site,Boombl4,0,1,-1,24,94,-70,CT,78
315,A Site,Boombl4,0,1,-1,114,100,14,T,78
316,Top Balcony,Boombl4,3,3,0,384,385,-1,CT,78
317,Top Balcony,Boombl4,0,0,0,0,0,0,T,78
318,Close Market door,Boombl4,0,3,-3,77,300,-223,CT,78
319,Close Market door,Boombl4,0,0,0,0,0,0,T,78
320,Mid Close Connector,Boombl4,0,0,0,26,1,25,CT,78
321,Mid Close Connector,Boombl4,2,2,0,221,187,34,T,78
322,A Site Exposed to Stairs Connector Cat,Boombl4,0,1,-1,0,100,-100,CT,78
323,A Site Exposed to Stairs Connector Cat,Boombl4,1,1,0,124,56,68,T,78
324,Deep Catwalk,Boombl4,0,0,0,0,0,0,CT,78
325,Deep Catwalk,Boombl4,2,0,2,227,44,183,T,78
326,Right Side Connector,Boombl4,1,1,0,100,92,8,CT,78
327,Right Side Connector,Boombl4,1,1,0,107,100,7,T,78
328,Snipers Palace Peek,Boombl4,0,0,0,0,0,0,CT,78
329,Snipers Palace Peek,Boombl4,2,1,1,227,118,109,T,78
330,Top Connector,Boombl4,0,1,-1,0,40,-40,CT,78
331,Top Connector,Boombl4,0,0,0,0,24,-24,T,78
332,Triple Box,Boombl4,2,1,1,198,98,100,CT,78
333,Triple Box,Boombl4,0,1,-1,0,100,-100,T,78
334,Top Mid Catwalk,Boombl4,0,1,-1,0,100,-100,CT,78
335,Top Mid Catwalk,Boombl4,1,1,0,189,32,157,T,78
336,market,Boombl4,0,1,-1,0,29,-29,CT,78
337,market,Boombl4,1,0,1,66,0,66,T,78
338,Deep Jungle,Boombl4,0,0,0,0,0,0,CT,78
339,Deep Jungle,Boombl4,0,1,-1,27,106,-79,T,78
340,Close A Ramp,Boombl4,0,0,0,0,0,0,CT,78
341,Close A Ramp,Boombl4,0,1,-1,0,107,-107,T,78
342,Ladder Room Catwalk Side,Boombl4,0,0,0,0,0,0,CT,78
343,Ladder Room Catwalk Side,Boombl4,0,1,-1,0,100,-100,T,78
344,Ticketbooth ,Boombl4,2,1,1,215,229,-14,CT,78
345,Ticketbooth ,Boombl4,0,0,0,0,0,0,T,78
346,Leftside Connector,Boombl4,0,1,-1,0,100,-100,CT,78
347,Leftside Connector,Boombl4,0,0,0,0,0,0,T,78
348,Top Mid,Boombl4,0,0,0,56,0,56,CT,78
349,Top Mid,Boombl4,1,2,-1,127,246,-119,T,78
350,Close Left CT A Ramp,Boombl4,0,1,-1,28,100,-72,CT,78
351,Close Left CT A Ramp,Boombl4,0,0,0,0,0,0,T,78
352,Jungle Plant,Boombl4,0,0,0,0,0,0,CT,78
353,Jungle Plant,Boombl4,0,2,-2,47,82,-35,T,78
354,Stairs Palace Peek,Boombl4,0,0,0,0,0,0,CT,78
355,Stairs Palace Peek,Boombl4,0,0,0,0,0,0,T,78
356,T Palace Stairs Peek,Boombl4,0,0,0,0,0,0,CT,78
357,T Palace Stairs Peek,Boombl4,0,0,0,0,0,0,T,78
358,T Spawn towards Apps,Boombl4,0,0,0,0,0,0,CT,78
359,T Spawn towards Apps,Boombl4,0,1,-1,0,94,-94,T,78
360,T Spawn,Boombl4,0,0,0,0,0,0,CT,78
361,T Spawn,Boombl4,0,1,-1,0,95,-95,T,78
362,Top Mid Right Side,Boombl4,0,0,0,0,0,0,CT,78
363,Top Mid Right Side,Boombl4,0,1,-1,0,54,-54,T,78
364,CT Deep Catwalk Mid peek,Boombl4,0,0,0,0,0,0,CT,78
365,CT Deep Catwalk Mid peek,Boombl4,1,0,1,100,0,100,T,78
366,Catwalk T Aparments Peek,Boombl4,0,0,0,0,0,0,CT,78
367,Catwalk T Aparments Peek,Boombl4,3,0,3,308,136,172,T,78
368,Ninja,Boombl4,1,1,0,137,100,37,CT,78
369,Ninja,Boombl4,0,0,0,0,0,0,T,78
370,CT Side Apps,Boombl4,0,0,0,0,0,0,CT,78
371,CT Side Apps,Boombl4,1,1,0,100,124,-24,T,78
372,Behind Big Boxes,Boombl4,0,0,0,0,15,-15,CT,78
373,Behind Big Boxes,Boombl4,1,1,0,100,188,-88,T,78
374,Sandwhich,Boombl4,0,0,0,0,0,0,CT,78
375,Sandwhich,Boombl4,0,0,0,0,0,0,T,78
376,Underneath B apps plat,Boombl4,0,0,0,0,0,0,CT,78
377,Underneath B apps plat,Boombl4,0,0,0,97,1,96,T,78
378,Catwalk Plant B Site,Boombl4,0,0,0,0,0,0,CT,78
379,Catwalk Plant B Site,Boombl4,0,0,0,0,0,0,T,78
380,Right Side Platform,Boombl4,0,0,0,0,0,0,CT,78
381,Right Side Platform,Boombl4,0,0,0,8,8,0,T,78
382,Under balcony,Boombl4,0,0,0,24,3,21,CT,78
383,Under balcony,Boombl4,0,0,0,0,0,0,T,78
384,CT Catwalk,Boombl4,0,0,0,0,0,0,CT,78
385,CT Catwalk,Boombl4,0,0,0,0,0,0,T,78
386,Bottom Connector,Boombl4,0,0,0,0,0,0,CT,78
387,Bottom Connector,Boombl4,1,0,1,100,0,100,T,78
388,CT Left Side,Boombl4,1,1,0,94,85,9,CT,78
389,CT Left Side,Boombl4,0,0,0,0,0,0,T,78
390,Default A,Boombl4,0,0,0,0,0,0,CT,78
391,Default A,Boombl4,2,0,2,68,0,68,T,78
392,Bench,Boombl4,1,1,0,21,47,-26,CT,78
393,Bench,Boombl4,0,0,0,0,0,0,T,78
394,Back B Site Peeking Apps/Plat,Boombl4,0,0,0,0,0,0,CT,78
395,Back B Site Peeking Apps/Plat,Boombl4,0,1,-1,0,99,-99,T,78
396,CT Outside Market,Boombl4,0,0,0,0,0,0,CT,78
397,CT Outside Market,Boombl4,0,0,0,0,0,0,T,78
398,Back Left B Site From T's' Perspective,Boombl4,0,1,-1,0,100,-100,CT,78
399,Back Left B Site From T's' Perspective,Boombl4,0,0,0,0,0,0,T,78
400,Arch,Boombl4,0,0,0,0,0,0,CT,78
401,Arch,Boombl4,0,0,0,0,0,0,T,78
402,B Bombsite Cross to Catwalk,Boombl4,0,0,0,0,53,-53,CT,78
403,B Bombsite Cross to Catwalk,Boombl4,1,0,1,100,0,100,T,78
404,Van Barrel Peek,Boombl4,0,0,0,0,0,0,CT,78
405,Van Barrel Peek,Boombl4,0,1,-1,81,78,3,T,78
406,Balcony Boaxes,Boombl4,1,1,0,100,100,0,CT,78
407,Balcony Boaxes,Boombl4,0,0,0,0,0,0,T,78
408,T Deep Apps Underpass/Apps Peek,Boombl4,0,0,0,0,0,0,CT,78
409,T Deep Apps Underpass/Apps Peek,Boombl4,0,1,-1,83,155,-72,T,78
410,Top Mid Left Side,Boombl4,0,0,0,0,0,0,CT,78
411,Top Mid Left Side,Boombl4,3,0,3,300,204,96,T,78
412,Catwalk Connector Peek,Boombl4,0,0,0,0,0,0,CT,78
413,Catwalk Connector Peek,Boombl4,1,0,1,100,21,79,T,78
414,Snipers Nest,Boombl4,0,0,0,0,0,0,CT,78
415,Snipers Nest,Boombl4,2,1,1,32,101,-69,T,78
416,Top Mid Boxes Left Side Peek,Boombl4,0,0,0,0,0,0,CT,78
