,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
29,CT Catwalk,Elige,1,3,-2,104,364,-260,1,0,1,65,87,-22,0,3,-3,39,277,-238,196
30,B Bombsite Cross to Catwalk,Elige,0,1,-1,26,37,-11,0,0,0,0,0,0,0,1,-1,26,37,-11,196
31,Close A Ramp,Elige,3,1,2,248,101,147,3,1,2,212,100,112,0,0,0,36,1,35,196
32,CT Side Apps,Elige,1,1,0,68,172,-104,0,0,0,0,66,-66,1,1,0,68,106,-38,196
33,Bench,Elige,3,1,2,167,180,-13,3,1,2,167,180,-13,0,0,0,0,0,0,196
34,Left Side corner deep jungle,Elige,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
35,Middle Bench,Elige,0,3,-3,48,302,-254,0,0,0,0,1,-1,0,3,-3,48,301,-253,196
36,Back Left B Site From T's' Perspective,Elige,3,3,0,269,312,-43,3,3,0,269,312,-43,0,0,0,0,0,0,196
37,Close Market door,Elige,1,2,-1,126,223,-97,1,1,0,115,192,-77,0,1,-1,11,31,-20,196
38,Close Left CT A Ramp,Elige,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,196
39,CT Spawn,Elige,0,1,-1,48,100,-52,0,1,-1,48,100,-52,0,0,0,0,0,0,196
40,B site Market Plant,Elige,1,2,-1,117,136,-19,1,1,0,117,61,56,0,1,-1,0,75,-75,196
41,Firebox,Elige,1,2,-1,258,259,-1,0,2,-2,72,200,-128,1,0,1,186,59,127,196
42,Back B Site Peeking Apps/Plat,Elige,0,1,-1,0,34,-34,0,1,-1,0,34,-34,0,0,0,0,0,0,196
43,Top Mid on top of Boxes,Elige,0,1,-1,0,69,-69,0,1,-1,0,69,-69,0,0,0,0,0,0,196
44,Jungle Plant,Elige,0,2,-2,0,153,-153,0,0,0,0,0,0,0,2,-2,0,153,-153,196
45,Ladder Room Catwalk Side,Elige,4,2,2,460,286,174,2,0,2,216,11,205,2,2,0,244,275,-31,196
46,Snipers Palace Peek,Elige,1,1,0,110,232,-122,0,1,-1,10,191,-181,1,0,1,100,41,59,196
47,Deep T Apps Underpass STairs,Elige,1,0,1,101,1,100,1,0,1,100,0,100,0,0,0,1,1,0,196
48,Leftside Connector,Elige,0,1,-1,70,113,-43,0,1,-1,62,100,-38,0,0,0,8,13,-5,196
49,Sandwhich,Elige,1,1,0,100,171,-71,0,0,0,0,0,0,1,1,0,100,171,-71,196
50,Arch,Elige,2,2,0,420,126,294,0,1,-1,122,100,22,2,1,1,298,26,272,196
51,Murder Hole,Elige,0,1,-1,52,109,-57,0,1,-1,52,109,-57,0,0,0,0,0,0,196
52,CT Outside Market,Elige,0,1,-1,0,78,-78,0,0,0,0,0,0,0,1,-1,0,78,-78,196
53,T Spawn A Ramp,Elige,1,1,0,108,109,-1,0,0,0,0,0,0,1,1,0,108,109,-1,196
54,T Deep Apps Underpass/Apps Peek,Elige,0,0,0,0,119,-119,0,0,0,0,54,-54,0,0,0,0,65,-65,196
55,Close Right Market Window,Elige,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
56,Catwalk Plant B Site,Elige,1,1,0,135,81,54,1,0,1,100,0,100,0,1,-1,35,81,-46,196
57,Bench Closer To Jungle,Elige,1,1,0,193,122,71,1,1,0,193,122,71,0,0,0,0,0,0,196
58,Stairs Palace Peek,Elige,2,1,1,152,163,-11,2,0,2,152,63,89,0,1,-1,0,100,-100,196
59,Balcony Boaxes,Elige,2,1,1,304,100,204,2,1,1,304,100,204,0,0,0,0,0,0,196
60,Apartments Right CT Corner,Elige,0,1,-1,0,34,-34,0,0,0,0,0,0,0,1,-1,0,34,-34,196
61,Right Side Platform,Elige,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
62,T Deep apps,Elige,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,196
63,Under balcony,Elige,0,0,0,0,39,-39,0,0,0,0,39,-39,0,0,0,0,0,0,196
64,Market Window Peek,Elige,0,0,0,70,0,70,0,0,0,70,0,70,0,0,0,0,0,0,196
65,Bottom Mid Ladder Room Peek,Elige,0,0,0,0,19,-19,0,0,0,0,0,0,0,0,0,0,19,-19,196
66,Right Side Snipers Nest,Elige,2,1,1,242,118,124,2,1,1,242,118,124,0,0,0,0,0,0,196
67,Under window B apps,Elige,1,1,0,74,73,1,0,0,0,0,0,0,1,1,0,74,73,1,196
68,Behind Big Boxes,Elige,0,1,-1,0,131,-131,0,0,0,0,0,0,0,1,-1,0,131,-131,196
69,Top Mid Boxes Left Side Peek,Elige,3,1,2,431,214,217,0,0,0,0,0,0,3,1,2,431,214,217,196
70,Top Mid Boxes Right Side Peek,Elige,1,0,1,126,53,73,0,0,0,0,0,0,1,0,1,126,53,73,196
71,Elevated Snipers Awp Peek,Elige,0,0,0,54,0,54,0,0,0,54,0,54,0,0,0,0,0,0,196
72,Inside Market Doors,Elige,1,1,0,157,100,57,1,1,0,157,100,57,0,0,0,0,0,0,196
73,Top STairs,Elige,0,1,-1,0,13,-13,0,1,-1,0,13,-13,0,0,0,0,0,0,196
74,Bottom Stairs,Stewie2k,4,9,-5,447,825,-378,3,1,2,205,114,91,1,8,-7,242,711,-469,196
75,CT Catwalk,Stewie2k,4,7,-3,579,797,-218,2,3,-1,464,397,67,2,4,-2,115,400,-285,196
76,Ticketbooth ,Stewie2k,1,6,-5,200,550,-350,0,4,-4,100,350,-250,1,2,-1,100,200,-100,196
77,Deep Catwalk,Stewie2k,4,4,0,402,496,-94,3,3,0,329,396,-67,1,1,0,73,100,-27,196
78,Snipers Nest,Stewie2k,5,4,1,500,472,28,4,2,2,400,183,217,1,2,-1,100,289,-189,196
79,CT Side Apps,Stewie2k,6,3,3,663,462,201,1,1,0,100,100,0,5,2,3,563,362,201,196
80,CT Deep Catwalk Mid peek,Stewie2k,7,3,4,794,327,467,7,2,5,768,227,541,0,1,-1,26,100,-74,196
81,Catwalk T Aparments Peek,Stewie2k,1,4,-3,154,427,-273,0,2,-2,0,200,-200,1,2,-1,154,227,-73,196
82,Top Mid Left Side,Stewie2k,2,4,-2,262,572,-310,1,2,-1,100,200,-100,1,2,-1,162,372,-210,196
83,Back B Site Peeking Apps/Plat,Stewie2k,2,3,-1,104,186,-82,0,1,-1,21,64,-43,2,2,0,83,122,-39,196
84,Mid Close Connector,Stewie2k,4,2,2,444,165,279,2,1,1,200,3,197,2,1,1,244,162,82,196
85,Arch,Stewie2k,2,4,-2,386,329,57,2,4,-2,342,329,13,0,0,0,44,0,44,196
86,Deep T Apps,Stewie2k,1,1,0,34,223,-189,0,0,0,0,0,0,1,1,0,34,223,-189,196
87,Top Mid,Stewie2k,3,2,1,308,222,86,2,0,2,200,0,200,1,2,-1,108,222,-114,196
88,Default A,Stewie2k,4,2,2,349,136,213,4,1,3,349,106,243,0,1,-1,0,30,-30,196
89,Catwalk Connector Peek,Stewie2k,3,4,-1,505,436,69,3,1,2,482,154,328,0,3,-3,23,282,-259,196
90,A Site Exposed to Stairs Connector Cat,Stewie2k,1,2,-1,24,201,-177,0,1,-1,0,100,-100,1,1,0,24,101,-77,196
91,Deep Jungle,Stewie2k,5,2,3,482,346,136,2,1,1,210,166,44,3,1,2,272,180,92,196
92,Back Left B Site From T's' Perspective,Stewie2k,5,3,2,451,253,198,5,2,3,451,200,251,0,1,-1,0,53,-53,196
93,Back Right B Site from T's Perspective,Stewie2k,1,2,-1,161,197,-36,1,2,-1,161,197,-36,0,0,0,0,0,0,196
94,Top Balcony,Stewie2k,2,2,0,89,200,-111,1,2,-1,83,200,-117,1,0,1,6,0,6,196
95,Bench,Stewie2k,4,4,0,421,456,-35,4,3,1,421,356,65,0,1,-1,0,100,-100,196
96,Right Side Connector,Stewie2k,2,2,0,251,248,3,0,0,0,0,0,0,2,2,0,251,248,3,196
97,A Site,Stewie2k,0,4,-4,35,248,-213,0,1,-1,35,8,27,0,3,-3,0,240,-240,196
98,T Palace Stairs Peek,Stewie2k,1,2,-1,13,200,-187,0,0,0,0,0,0,1,2,-1,13,200,-187,196
99,A Ramp,Stewie2k,0,3,-3,38,310,-272,0,0,0,0,28,-28,0,3,-3,38,282,-244,196
100,Leftside Connector,Stewie2k,0,1,-1,54,102,-48,0,1,-1,54,102,-48,0,0,0,0,0,0,196
101,Top Mid towards Apps,Stewie2k,0,1,-1,69,100,-31,0,0,0,0,0,0,0,1,-1,69,100,-31,196
102,Triple Box,Stewie2k,3,2,1,369,178,191,1,2,-1,201,178,23,2,0,2,168,0,168,196
103,Semi Elevated CT Van,Stewie2k,1,1,0,44,31,13,1,1,0,44,31,13,0,0,0,0,0,0,196
104,Close Market door,Stewie2k,0,2,-2,0,202,-202,0,2,-2,0,202,-202,0,0,0,0,0,0,196
105,T Spawn A Ramp,Stewie2k,2,3,-1,200,280,-80,0,0,0,0,0,0,2,3,-1,200,280,-80,196
106,B Bombsite Cross to Catwalk,Stewie2k,8,0,8,593,94,499,5,0,5,476,68,408,3,0,3,117,26,91,196
107,Deep Palace,Stewie2k,1,2,-1,100,222,-122,1,1,0,100,122,-22,0,1,-1,0,100,-100,196
108,T Spawn,Stewie2k,0,2,-2,0,192,-192,0,2,-2,0,192,-192,0,0,0,0,0,0,196
109,market,Stewie2k,2,2,0,251,166,85,0,0,0,0,0,0,2,2,0,251,166,85,196
110,Right Side Snipers Nest,Stewie2k,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,196
111,Underpass,Stewie2k,3,2,1,274,384,-110,0,1,-1,0,135,-135,3,1,2,274,249,25,196
112,Market Window Peek,Stewie2k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
113,CT Spawn,Stewie2k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
114,Jungle Plant,Stewie2k,0,2,-2,30,146,-116,0,1,-1,0,83,-83,0,1,-1,30,63,-33,196
115,Ladder Room Catwalk Side,Stewie2k,3,1,2,395,182,213,2,1,1,295,182,113,1,0,1,100,0,100,196
116,Catwalk Plant B Site,Stewie2k,0,0,0,33,0,33,0,0,0,33,0,33,0,0,0,0,0,0,196
117,Stairs Palace Peek,Stewie2k,2,2,0,130,188,-58,2,2,0,130,188,-58,0,0,0,0,0,0,196
118,Bottom Connector,Stewie2k,5,0,5,396,73,323,1,0,1,100,33,67,4,0,4,296,40,256,196
119,Left Side Platform,Stewie2k,5,2,3,673,276,397,4,1,3,573,100,473,1,1,0,100,176,-76,196
120,CT Outside Market,Stewie2k,2,2,0,200,125,75,0,0,0,0,0,0,2,2,0,200,125,75,196
121,Inside Market Doors,Stewie2k,0,1,-1,27,57,-30,0,0,0,0,0,0,0,1,-1,27,57,-30,196
122,Left Side corner deep jungle,Stewie2k,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,196
123,Tetris,Stewie2k,0,1,-1,32,100,-68,0,1,-1,32,100,-68,0,0,0,0,0,0,196
124,Under window B apps,Stewie2k,1,2,-1,86,106,-20,1,1,0,86,100,-14,0,1,-1,0,6,-6,196
125,Top Mid Boxes Right Side Peek,Stewie2k,1,1,0,75,96,-21,0,0,0,0,0,0,1,1,0,75,96,-21,196
126,Underneath B apps plat,Stewie2k,0,2,-2,26,195,-169,0,1,-1,0,194,-194,0,1,-1,26,1,25,196
127,Top Mid Catwalk,Stewie2k,1,1,0,100,122,-22,0,0,0,0,0,0,1,1,0,100,122,-22,196
128,B Site Default Plant,Stewie2k,0,0,0,0,27,-27,0,0,0,0,27,-27,0,0,0,0,0,0,196
129,Top Van,Stewie2k,1,0,1,68,16,52,1,0,1,68,16,52,0,0,0,0,0,0,196
130,Close Right Market Window,Stewie2k,1,1,0,75,75,0,0,0,0,0,0,0,1,1,0,75,75,0,196
131,Chair,Stewie2k,2,0,2,259,67,192,0,0,0,22,0,22,2,0,2,237,67,170,196
132,Bench Closer To Jungle,Stewie2k,1,1,0,33,76,-43,1,0,1,33,0,33,0,1,-1,0,76,-76,196
133,Apartments Right CT Corner,Stewie2k,0,0,0,0,30,-30,0,0,0,0,8,-8,0,0,0,0,22,-22,196
134,Forest,Stewie2k,1,0,1,59,31,28,0,0,0,36,20,16,1,0,1,23,11,12,196
135,Safe Plant B Site,Stewie2k,0,1,-1,0,98,-98,0,1,-1,0,98,-98,0,0,0,0,0,0,196
136,Firebox,Stewie2k,0,0,0,0,70,-70,0,0,0,0,0,0,0,0,0,0,70,-70,196
137,Close Left CT A Ramp,Stewie2k,1,0,1,27,0,27,0,0,0,0,0,0,1,0,1,27,0,27,196
138,Bench Closer to Tribox,Stewie2k,0,0,0,22,27,-5,0,0,0,0,27,-27,0,0,0,22,0,22,196
139,Sandwhich,Stewie2k,0,0,0,0,92,-92,0,0,0,0,92,-92,0,0,0,0,0,0,196
140,Deep CT,Stewie2k,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,0,0,0,196
141,B site Market Plant,Stewie2k,0,1,-1,23,100,-77,0,1,-1,23,100,-77,0,0,0,0,0,0,196
142,Snipers Palace Peek,Stewie2k,3,0,3,107,16,91,3,0,3,107,16,91,0,0,0,0,0,0,196
143,Bottom Mid Ladder Room Peek,Stewie2k,1,1,0,50,101,-51,0,0,0,0,0,0,1,1,0,50,101,-51,196
144,Top STairs,Stewie2k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
145,Right Side Platform,Stewie2k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
146,Register Market,Stewie2k,1,0,1,13,0,13,0,0,0,0,0,0,1,0,1,13,0,13,196
147,Top Mid Boxes Left Side Peek,Stewie2k,0,0,0,0,4,-4,0,0,0,0,0,0,0,0,0,0,4,-4,196
148,Top Connector,Stewie2k,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,196
149,Van Barrel Peek,Stewie2k,0,1,-1,0,100,-100,0,0,0,0,0,0,0,1,-1,0,100,-100,196
150,Default A,Naf-fly,4,10,-6,553,945,-392,0,4,-4,66,377,-311,4,6,-2,487,568,-81,196
151,CT Side Apps,Naf-fly,5,4,1,403,542,-139,0,1,-1,0,152,-152,5,3,2,403,390,13,196
152,Ticketbooth ,Naf-fly,13,9,4,1327,885,442,10,7,3,1000,685,315,3,2,1,327,200,127,196
153,T Palace Stairs Peek,Naf-fly,6,6,0,848,759,89,2,1,1,256,100,156,4,5,-1,592,659,-67,196
154,A Site,Naf-fly,0,6,-6,123,564,-441,0,1,-1,0,73,-73,0,5,-5,123,491,-368,196
155,Top Balcony,Naf-fly,5,7,-2,695,652,43,0,0,0,0,0,0,5,7,-2,695,652,43,196
156,Left Side Platform,Naf-fly,4,6,-2,569,623,-54,0,2,-2,124,114,10,4,4,0,445,509,-64,196
157,CT Catwalk,Naf-fly,5,2,3,480,255,225,5,1,4,480,155,325,0,1,-1,0,100,-100,196
158,A Ramp,Naf-fly,5,2,3,563,294,269,1,0,1,68,0,68,4,2,2,495,294,201,196
159,A Site Exposed to Stairs Connector Cat,Naf-fly,1,2,-1,74,175,-101,1,2,-1,52,175,-123,0,0,0,22,0,22,196
160,B Bombsite Cross to Catwalk,Naf-fly,1,2,-1,147,204,-57,0,1,-1,33,74,-41,1,1,0,114,130,-16,196
161,Close Market door,Naf-fly,3,1,2,315,110,205,3,1,2,315,110,205,0,0,0,0,0,0,196
162,market,Naf-fly,0,2,-2,134,213,-79,0,2,-2,134,213,-79,0,0,0,0,0,0,196
163,Snipers Nest,Naf-fly,1,3,-2,225,286,-61,1,3,-2,225,286,-61,0,0,0,0,0,0,196
164,Market Window Peek,Naf-fly,2,2,0,245,284,-39,2,1,1,245,184,61,0,1,-1,0,100,-100,196
165,Top Mid Left Side,Naf-fly,2,1,1,200,133,67,1,1,0,100,100,0,1,0,1,100,33,67,196
166,Deep CT,Naf-fly,2,1,1,199,87,112,1,1,0,133,49,84,1,0,1,66,38,28,196
167,Sandwhich,Naf-fly,2,1,1,233,149,84,2,1,1,233,127,106,0,0,0,0,22,-22,196
168,Underneath B apps plat,Naf-fly,5,2,3,467,216,251,5,2,3,467,216,251,0,0,0,0,0,0,196
169,Bottom Stairs,Naf-fly,1,4,-3,100,346,-246,1,3,-2,100,246,-146,0,1,-1,0,100,-100,196
170,Close Left CT A Ramp,Naf-fly,1,1,0,74,80,-6,0,0,0,0,0,0,1,1,0,74,80,-6,196
171,Arch,Naf-fly,0,3,-3,26,219,-193,0,2,-2,26,119,-93,0,1,-1,0,100,-100,196
172,Mid Close Connector,Naf-fly,0,3,-3,127,319,-192,0,1,-1,99,178,-79,0,2,-2,28,141,-113,196
173,Top Mid towards Apps,Naf-fly,1,2,-1,127,134,-7,0,2,-2,27,134,-107,1,0,1,100,0,100,196
174,Deep Palace,Naf-fly,5,0,5,656,232,424,0,0,0,0,0,0,5,0,5,656,232,424,196
175,Underpass,Naf-fly,1,2,-1,46,263,-217,1,2,-1,19,196,-177,0,0,0,27,67,-40,196
176,Catwalk Plant B Site,Naf-fly,0,1,-1,52,4,48,0,0,0,0,0,0,0,1,-1,52,4,48,196
177,Catwalk Connector Peek,Naf-fly,0,2,-2,52,200,-148,0,0,0,0,0,0,0,2,-2,52,200,-148,196
178,Jungle Plant,Naf-fly,0,2,-2,41,246,-205,0,0,0,0,0,0,0,2,-2,41,246,-205,196
179,Deep Catwalk,Naf-fly,3,2,1,270,203,67,1,1,0,100,100,0,2,1,1,170,103,67,196
180,CT Deep Catwalk Mid peek,Naf-fly,2,0,2,106,105,1,2,0,2,106,105,1,0,0,0,0,0,0,196
181,Back Right B Site from T's Perspective,Naf-fly,1,2,-1,72,148,-76,1,1,0,72,48,24,0,1,-1,0,100,-100,196
182,Top Mid,Naf-fly,1,0,1,44,0,44,0,0,0,0,0,0,1,0,1,44,0,44,196
183,Deep Jungle,Naf-fly,1,1,0,148,154,-6,1,1,0,148,154,-6,0,0,0,0,0,0,196
184,Bench,Naf-fly,5,2,3,319,293,26,5,1,4,319,193,126,0,1,-1,0,100,-100,196
185,T Deep Apps Underpass/Apps Peek,Naf-fly,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,196
186,T Spawn A Ramp,Naf-fly,2,1,1,364,189,175,0,0,0,0,0,0,2,1,1,364,189,175,196
187,B site Market Plant,Naf-fly,2,2,0,94,114,-20,1,2,-1,79,114,-35,1,0,1,15,0,15,196
188,Back B Site Peeking Apps/Plat,Naf-fly,3,2,1,226,177,49,2,1,1,155,100,55,1,1,0,71,77,-6,196
189,Balcony Boaxes,Naf-fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
190,Ninja,Naf-fly,0,1,-1,68,100,-32,0,1,-1,68,100,-32,0,0,0,0,0,0,196
191,Close Right Market Window,Naf-fly,1,0,1,86,0,86,0,0,0,0,0,0,1,0,1,86,0,86,196
192,Catwalk T Aparments Peek,Naf-fly,1,2,-1,14,254,-240,1,2,-1,9,200,-191,0,0,0,5,54,-49,196
193,Triple Box,Naf-fly,2,0,2,84,117,-33,2,0,2,84,113,-29,0,0,0,0,4,-4,196
194,Connector behind box,Naf-fly,1,0,1,48,9,39,1,0,1,48,0,48,0,0,0,0,9,-9,196
195,Leftside Connector,Naf-fly,1,0,1,183,0,183,1,0,1,183,0,183,0,0,0,0,0,0,196
196,Forest,Naf-fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
197,Semi Elevated CT Van,Naf-fly,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,196
198,Under window B apps,Naf-fly,0,0,0,0,86,-86,0,0,0,0,0,0,0,0,0,0,86,-86,196
199,Right Side Platform,Naf-fly,1,1,0,66,134,-68,0,0,0,0,34,-34,1,1,0,66,100,-34,196
200,B Site Default Plant,Naf-fly,0,0,0,0,61,-61,0,0,0,0,34,-34,0,0,0,0,27,-27,196
201,Close Market Window,Naf-fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
202,Right Side Connector,Naf-fly,1,0,1,100,3,97,1,0,1,100,3,97,0,0,0,0,0,0,196
203,Flowerpot CT,Naf-fly,0,1,-1,0,66,-66,0,1,-1,0,66,-66,0,0,0,0,0,0,196
204,Top Van,Naf-fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
205,Apartments Right CT Corner,Naf-fly,1,0,1,100,0,100,0,0,0,0,0,0,1,0,1,100,0,100,196
206,Deep T Apps,Naf-fly,0,0,0,104,23,81,0,0,0,0,0,0,0,0,0,104,23,81,196
207,T Spawn towards Apps,Naf-fly,1,0,1,100,66,34,1,0,1,100,66,34,0,0,0,0,0,0,196
208,CT Outside Market,Naf-fly,1,1,0,134,208,-74,1,1,0,134,208,-74,0,0,0,0,0,0,196
209,Tetris,Naf-fly,0,0,0,34,0,34,0,0,0,34,0,34,0,0,0,0,0,0,196
210,Top Connector,Naf-fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
211,Back,Naf-fly,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,196
212,Stairs Palace Peek,Naf-fly,2,1,1,217,160,57,1,1,0,117,160,-43,1,0,1,100,0,100,196
213,Middle Bench,Naf-fly,0,1,-1,84,100,-16,0,1,-1,0,100,-100,0,0,0,84,0,84,196
214,Top Mid Catwalk,Naf-fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
215,Register Market,Naf-fly,0,1,-1,0,100,-100,0,0,0,0,0,0,0,1,-1,0,100,-100,196
216,CT Spawn,Naf-fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
217,A Ramp,Grim,9,13,-4,1136,1448,-312,7,6,1,794,610,184,2,7,-5,342,838,-496,196
218,CT Side Apps,Grim,1,4,-3,274,586,-312,1,1,0,100,100,0,0,3,-3,174,486,-312,196
219,Top Balcony,Grim,2,4,-2,222,360,-138,2,4,-2,222,360,-138,0,0,0,0,0,0,196
220,Default A,Grim,7,9,-2,805,769,36,4,7,-3,493,596,-103,3,2,1,312,173,139,196
221,Triple Box,Grim,6,3,3,465,204,261,5,2,3,395,199,196,1,1,0,70,5,65,196
222,A Site Exposed to Stairs Connector Cat,Grim,1,5,-4,84,455,-371,1,1,0,69,47,22,0,4,-4,15,408,-393,196
223,Close A Ramp,Grim,3,3,0,346,362,-16,2,2,0,207,203,4,1,1,0,139,159,-20,196
224,CT Deep Catwalk Mid peek,Grim,3,3,0,170,261,-91,3,2,1,170,161,9,0,1,-1,0,100,-100,196
225,Underneath B apps plat,Grim,4,5,-1,609,474,135,4,5,-1,601,466,135,0,0,0,8,8,0,196
226,Sandwhich,Grim,2,3,-1,227,225,2,0,1,-1,0,66,-66,2,2,0,227,159,68,196
227,Deep T Apps,Grim,0,5,-5,202,529,-327,0,1,-1,28,100,-72,0,4,-4,174,429,-255,196
228,B Site Default Plant,Grim,1,5,-4,291,506,-215,0,3,-3,128,306,-178,1,2,-1,163,200,-37,196
229,Mid Close Connector,Grim,0,3,-3,40,242,-202,0,1,-1,0,73,-73,0,2,-2,40,169,-129,196
230,Deep CT,Grim,2,4,-2,289,395,-106,2,1,1,217,111,106,0,3,-3,72,284,-212,196
231,Deep Palace,Grim,4,3,1,328,327,1,4,2,2,328,227,101,0,1,-1,0,100,-100,196
232,Ticketbooth ,Grim,4,3,1,594,455,139,3,2,1,384,291,93,1,1,0,210,164,46,196
233,Close Market door,Grim,0,2,-2,100,173,-73,0,2,-2,100,173,-73,0,0,0,0,0,0,196
234,CT Catwalk,Grim,1,3,-2,171,336,-165,1,1,0,171,139,32,0,2,-2,0,197,-197,196
235,Left Side Platform,Grim,6,2,4,836,321,515,1,0,1,114,27,87,5,2,3,722,294,428,196
236,A Site,Grim,3,4,-1,496,390,106,2,1,1,262,96,166,1,3,-2,234,294,-60,196
237,Back B Site Peeking Apps/Plat,Grim,3,2,1,288,234,54,1,1,0,126,122,4,2,1,1,162,112,50,196
238,Bottom Stairs,Grim,3,3,0,242,318,-76,1,0,1,76,0,76,2,3,-1,166,318,-152,196
