,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
181,ExtendedA,BlameF,0,1,-1,0,21,-21,0,1,-1,0,21,-21,0,0,0,0,0,0,563
182,B Site Default Plant,BlameF,1,0,1,128,16,112,1,0,1,102,5,97,0,0,0,26,11,15,563
183,T Deep apps,BlameF,1,0,1,100,0,100,0,0,0,0,0,0,1,0,1,100,0,100,563
184,Apartments Right CT Corner,BlameF,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,33,563
185,T Apps TV,BlameF,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,563
186,Ticketbooth ,Poizon,39,28,11,3983,3126,857,34,23,11,3534,2672,862,5,5,0,449,454,-5,535
187,Bottom Stairs,Poizon,9,12,-3,891,1206,-315,6,4,2,582,539,43,3,8,-5,309,667,-358,535
188,Mid Close Connector,Poizon,9,12,-3,1139,1299,-160,5,6,-1,575,572,3,4,6,-2,564,727,-163,535
189,CT Side Apps,Poizon,14,20,-6,1344,2109,-765,0,3,-3,52,255,-203,14,17,-3,1292,1854,-562,535
190,A Ramp,Poizon,14,11,3,1268,1660,-392,1,0,1,19,0,19,13,11,2,1249,1660,-411,535
191,Top Balcony,Poizon,15,7,8,1331,999,332,10,1,9,733,263,470,5,6,-1,598,736,-138,535
192,Default A,Poizon,18,15,3,1749,1629,120,5,2,3,434,210,224,13,13,0,1315,1419,-104,535
193,Triple Box,Poizon,25,19,6,2530,1950,580,24,12,12,2458,1419,1039,1,7,-6,72,531,-459,535
194,Top Mid Left Side,Poizon,13,5,8,1554,821,733,1,0,1,100,0,100,12,5,7,1454,821,633,535
195,A Site Exposed to Stairs Connector Cat,Poizon,6,12,-6,709,1173,-464,3,7,-4,299,638,-339,3,5,-2,410,535,-125,535
196,Deep Jungle,Poizon,8,11,-3,569,801,-232,4,7,-3,342,492,-150,4,4,0,227,309,-82,535
197,A Site,Poizon,10,11,-1,816,1179,-363,1,3,-2,35,297,-262,9,8,1,781,882,-101,535
198,Catwalk Connector Peek,Poizon,6,10,-4,779,1013,-234,3,1,2,306,126,180,3,9,-6,473,887,-414,535
199,Bench,Poizon,2,3,-1,292,177,115,1,1,0,121,100,21,1,2,-1,171,77,94,535
200,T Palace Stairs Peek,Poizon,7,4,3,649,857,-208,0,1,-1,84,141,-57,7,3,4,565,716,-151,535
201,Close A Ramp,Poizon,2,7,-5,219,626,-407,0,0,0,0,0,0,2,7,-5,219,626,-407,535
202,Snipers Nest,Poizon,8,4,4,1189,777,412,8,3,5,1120,734,386,0,1,-1,69,43,26,535
203,B Bombsite Cross to Catwalk,Poizon,3,5,-2,187,261,-74,0,0,0,0,0,0,3,5,-2,187,261,-74,535
204,Deep Catwalk,Poizon,5,9,-4,565,900,-335,5,7,-2,565,682,-117,0,2,-2,0,218,-218,535
205,Bottom Connector,Poizon,4,9,-5,592,902,-310,1,6,-5,226,622,-396,3,3,0,366,280,86,535
206,Catwalk T Aparments Peek,Poizon,8,8,0,658,774,-116,4,3,1,228,324,-96,4,5,-1,430,450,-20,535
207,Close Market door,Poizon,6,7,-1,306,522,-216,4,7,-3,260,507,-247,2,0,2,46,15,31,535
208,Back B Site Peeking Apps/Plat,Poizon,5,6,-1,639,546,93,1,0,1,123,35,88,4,6,-2,516,511,5,535
209,Right Side Connector,Poizon,10,6,4,1117,817,300,10,4,6,1117,617,500,0,2,-2,0,200,-200,535
210,Top Mid Catwalk,Poizon,7,2,5,540,526,14,1,0,1,12,138,-126,6,2,4,528,388,140,535
211,Top Mid,Poizon,8,5,3,950,547,403,6,3,3,750,280,470,2,2,0,200,267,-67,535
212,Stairs Palace Peek,Poizon,11,7,4,871,705,166,10,6,4,766,527,239,1,1,0,105,178,-73,535
213,CT Catwalk,Poizon,5,2,3,536,309,227,1,1,0,166,100,66,4,1,3,370,209,161,535
214,Top Connector,Poizon,0,4,-4,112,333,-221,0,1,-1,112,106,6,0,3,-3,0,227,-227,535
215,Snipers Palace Peek,Poizon,4,4,0,460,490,-30,3,4,-1,360,490,-130,1,0,1,100,0,100,535
216,Top Mid towards Apps,Poizon,2,3,-1,206,386,-180,0,0,0,0,0,0,2,3,-1,206,386,-180,535
217,Deep Palace,Poizon,3,4,-1,483,452,31,0,2,-2,15,200,-185,3,2,1,468,252,216,535
218,Tetris,Poizon,1,4,-3,188,383,-195,0,0,0,0,0,0,1,4,-3,188,383,-195,535
219,Market Window Peek,Poizon,5,2,3,399,224,175,5,2,3,399,224,175,0,0,0,0,0,0,535
220,Deep T Apps,Poizon,3,5,-2,346,781,-435,0,0,0,23,0,23,3,5,-2,323,781,-458,535
221,market,Poizon,6,5,1,560,536,24,6,5,1,560,536,24,0,0,0,0,0,0,535
222,CT Deep Catwalk Mid peek,Poizon,10,3,7,975,419,556,2,3,-1,154,247,-93,8,0,8,821,172,649,535
223,Left Side Platform,Poizon,4,0,4,373,134,239,0,0,0,0,0,0,4,0,4,373,134,239,535
224,Top STairs,Poizon,1,1,0,261,132,129,0,0,0,0,0,0,1,1,0,261,132,129,535
225,Deep CT,Poizon,7,4,3,491,487,4,5,3,2,264,355,-91,2,1,1,227,132,95,535
226,Under balcony,Poizon,1,1,0,74,15,59,1,0,1,74,0,74,0,1,-1,0,15,-15,535
227,Sandwhich,Poizon,1,3,-2,80,260,-180,0,0,0,0,0,0,1,3,-2,80,260,-180,535
228,Jungle Plant,Poizon,2,3,-1,251,247,4,0,1,-1,80,100,-20,2,2,0,171,147,24,535
229,Underpass,Poizon,1,1,0,100,101,-1,0,1,-1,0,101,-101,1,0,1,100,0,100,535
230,Bench Closer to Tribox,Poizon,2,2,0,205,55,150,1,1,0,105,37,68,1,1,0,100,18,82,535
231,CT Left Side,Poizon,4,1,3,416,176,240,4,1,3,416,176,240,0,0,0,0,0,0,535
232,Firebox,Poizon,1,2,-1,113,143,-30,0,0,0,0,0,0,1,2,-1,113,143,-30,535
233,Underneath B apps plat,Poizon,3,1,2,221,230,-9,1,0,1,100,0,100,2,1,1,121,230,-109,535
234,Leftside Connector,Poizon,6,3,3,538,430,108,3,2,1,238,241,-3,3,1,2,300,189,111,535
235,T Spawn A Ramp,Poizon,4,3,1,253,413,-160,0,0,0,0,0,0,4,3,1,253,413,-160,535
236,Left Side corner deep jungle,Poizon,2,2,0,185,278,-93,2,2,0,166,278,-112,0,0,0,19,0,19,535
237,Bench Closer To Jungle,Poizon,1,1,0,25,76,-51,1,0,1,25,0,25,0,1,-1,0,76,-76,535
238,Back Left B Site From T's' Perspective,Poizon,1,1,0,112,47,65,1,1,0,112,47,65,0,0,0,0,0,0,535
239,Arch,Poizon,3,2,1,184,272,-88,0,1,-1,0,100,-100,3,1,2,184,172,12,535
240,Top Mid Right Side,Poizon,2,3,-1,293,250,43,0,0,0,0,0,0,2,3,-1,293,250,43,535
