,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
112,T Spawn,KSCERATO,1,1,0,146,175,-29,CT,452
113,T Spawn,KSCERATO,0,1,-1,0,100,-100,T,452
114,Jungle Plant,KSCERATO,0,0,0,0,0,0,CT,452
115,Jungle Plant,KSCERATO,0,0,0,0,0,0,T,452
116,Inside Market Doors,KSCERATO,4,0,4,274,39,235,CT,452
117,Inside Market Doors,KSCERATO,0,1,-1,0,38,-38,T,452
118,Back Right B Site from T's Perspective,KSCERATO,2,0,2,127,79,48,CT,452
119,Back Right B Site from T's Perspective,KSCERATO,0,1,-1,0,18,-18,T,452
120,CT Left Side,KSCERATO,1,2,-1,7,200,-193,CT,452
121,CT Left Side,KSCERATO,0,0,0,0,0,0,T,452
122,Bench Closer to Tribox,KSCERATO,1,0,1,64,0,64,CT,452
123,Bench Closer to Tribox,KSCERATO,1,2,-1,126,135,-9,T,452
124,Bench Closer To Jungle,KSCERATO,0,0,0,0,0,0,CT,452
125,Bench Closer To Jungle,KSCERATO,2,3,-1,226,304,-78,T,452
126,Catwalk Connector Peek,KSCERATO,1,0,1,102,0,102,CT,452
127,Catwalk Connector Peek,KSCERATO,2,0,2,324,31,293,T,452
128,Stairs Palace Peek,KSCERATO,2,0,2,246,75,171,CT,452
129,Stairs Palace Peek,KSCERATO,0,1,-1,96,100,-4,T,452
130,Close Left CT A Ramp,KSCERATO,0,0,0,0,0,0,CT,452
131,Close Left CT A Ramp,KSCERATO,3,2,1,322,101,221,T,452
132,Forest,KSCERATO,0,0,0,32,33,-1,CT,452
133,Forest,KSCERATO,3,1,2,286,96,190,T,452
134,Apartments Right CT Corner,KSCERATO,0,0,0,0,0,0,CT,452
135,Apartments Right CT Corner,KSCERATO,2,1,1,126,139,-13,T,452
136,T Spawn A Ramp,KSCERATO,0,0,0,0,0,0,CT,452
137,T Spawn A Ramp,KSCERATO,1,2,-1,231,315,-84,T,452
138,Leftside Connector,KSCERATO,0,0,0,0,0,0,CT,452
139,Leftside Connector,KSCERATO,2,0,2,226,181,45,T,452
140,Balcony Boaxes,KSCERATO,0,0,0,0,0,0,CT,452
141,Balcony Boaxes,KSCERATO,0,1,-1,0,66,-66,T,452
142,Chair,KSCERATO,0,0,0,0,0,0,CT,452
143,Chair,KSCERATO,0,0,0,54,0,54,T,452
144,Top Van,KSCERATO,1,0,1,139,0,139,CT,452
145,Top Van,KSCERATO,1,0,1,100,0,100,T,452
146,Under balcony,KSCERATO,0,0,0,0,0,0,CT,452
147,Under balcony,KSCERATO,0,0,0,0,0,0,T,452
148,T apps entrance close left,KSCERATO,1,0,1,100,0,100,CT,452
149,T apps entrance close left,KSCERATO,0,0,0,0,0,0,T,452
150,Connector behind box,KSCERATO,0,2,-2,131,125,6,CT,452
151,Connector behind box,KSCERATO,1,0,1,127,14,113,T,452
152,T Spawn towards Apps,KSCERATO,1,1,0,100,46,54,CT,452
153,T Spawn towards Apps,KSCERATO,1,0,1,52,0,52,T,452
154,Top Mid Catwalk,KSCERATO,1,0,1,30,0,30,CT,452
155,Top Mid Catwalk,KSCERATO,0,1,-1,0,100,-100,T,452
156,Deep T Apps Underpass STairs,KSCERATO,0,0,0,0,0,0,CT,452
157,Deep T Apps Underpass STairs,KSCERATO,1,1,0,95,144,-49,T,452
158,PalaceInterior,KSCERATO,0,1,-1,0,100,-100,CT,452
159,PalaceInterior,KSCERATO,0,0,0,0,9,-9,T,452
160,Top Mid Boxes Right Side Peek,KSCERATO,0,0,0,0,0,0,CT,452
161,Top Mid Boxes Right Side Peek,KSCERATO,0,0,0,0,0,0,T,452
162,BigOffice,KSCERATO,0,1,-1,0,100,-100,CT,452
163,BigOffice,KSCERATO,0,0,0,0,0,0,T,452
164,Behind Big Boxes,KSCERATO,1,0,1,87,0,87,CT,452
165,Behind Big Boxes,KSCERATO,0,1,-1,0,103,-103,T,452
166,Van Barrel Peek,KSCERATO,0,0,0,27,0,27,CT,452
167,Van Barrel Peek,KSCERATO,0,0,0,0,0,0,T,452
168,Bathroom,KSCERATO,0,0,0,0,0,0,CT,452
169,Bathroom,KSCERATO,0,1,-1,0,18,-18,T,452
170,BackHall,KSCERATO,0,1,-1,0,100,-100,CT,452
171,BackHall,KSCERATO,0,0,0,0,0,0,T,452
172,Deep T Spawn T Ramp,KSCERATO,1,0,1,33,0,33,CT,452
173,Deep T Spawn T Ramp,KSCERATO,1,1,0,181,100,81,T,452
174,Safe Plant B Site,KSCERATO,0,1,-1,2,4,-2,CT,452
175,Safe Plant B Site,KSCERATO,0,0,0,53,0,53,T,452
176,Fountain,KSCERATO,0,0,0,0,0,0,CT,452
177,Fountain,KSCERATO,0,1,-1,0,100,-100,T,452
178,Stairs Smoke Platform,KSCERATO,0,0,0,0,0,0,CT,452
179,Stairs Smoke Platform,KSCERATO,0,0,0,0,0,0,T,452
180,Bottom Mid Boosting Snipers,KSCERATO,0,1,-1,0,81,-81,CT,452
181,Bottom Mid Boosting Snipers,KSCERATO,0,0,0,0,0,0,T,452
182,Top Mid Boxes Left Side Peek,KSCERATO,0,0,0,0,0,0,CT,452
183,Top Mid Boxes Left Side Peek,KSCERATO,1,1,0,212,100,112,T,452
184,BoatHouse,KSCERATO,0,1,-1,0,1,-1,CT,452
185,BoatHouse,KSCERATO,0,0,0,0,0,0,T,452
186,Under window B apps,KSCERATO,0,1,-1,78,100,-22,CT,452
187,Under window B apps,KSCERATO,0,0,0,0,56,-56,T,452
188,Top Mid Right Side,KSCERATO,0,0,0,0,0,0,CT,452
189,Top Mid Right Side,KSCERATO,0,1,-1,13,178,-165,T,452
190,Catwalk,KSCERATO,0,0,0,0,0,0,CT,452
191,Catwalk,KSCERATO,0,1,-1,0,29,-29,T,452
192,BackRoad,KSCERATO,0,0,0,0,0,0,CT,452
193,BackRoad,KSCERATO,0,1,-1,0,29,-29,T,452
194,Ticketbooth ,Yuurih,20,19,1,2323,2022,301,CT,452
195,Ticketbooth ,Yuurih,6,2,4,480,295,185,T,452
196,Bottom Stairs,Yuurih,10,10,0,931,1108,-177,CT,452
197,Bottom Stairs,Yuurih,1,8,-7,201,748,-547,T,452
198,Default A,Yuurih,13,16,-3,1871,1827,44,CT,452
199,Default A,Yuurih,2,6,-4,266,466,-200,T,452
200,Deep Jungle,Yuurih,9,6,3,1212,532,680,CT,452
201,Deep Jungle,Yuurih,6,11,-5,619,915,-296,T,452
202,A Site,Yuurih,3,6,-3,419,546,-127,CT,452
203,A Site,Yuurih,0,7,-7,358,681,-323,T,452
204,A Ramp,Yuurih,11,10,1,1204,1063,141,CT,452
205,A Ramp,Yuurih,0,5,-5,164,558,-394,T,452
206,Top Balcony,Yuurih,17,15,2,2142,1649,493,CT,452
207,Top Balcony,Yuurih,3,4,-1,276,456,-180,T,452
208,Mid Close Connector,Yuurih,4,7,-3,687,787,-100,CT,452
209,Mid Close Connector,Yuurih,5,5,0,599,739,-140,T,452
210,T Palace Stairs Peek,Yuurih,1,2,-1,242,256,-14,CT,452
211,T Palace Stairs Peek,Yuurih,0,0,0,12,0,12,T,452
212,Top Mid Left Side,Yuurih,0,0,0,0,0,0,CT,452
213,Top Mid Left Side,Yuurih,3,6,-3,647,831,-184,T,452
214,Close A Ramp,Yuurih,7,6,1,621,684,-63,CT,452
215,Close A Ramp,Yuurih,0,2,-2,101,301,-200,T,452
216,A Site Exposed to Stairs Connector Cat,Yuurih,8,3,5,866,358,508,CT,452
217,A Site Exposed to Stairs Connector Cat,Yuurih,7,5,2,564,522,42,T,452
218,Triple Box,Yuurih,3,5,-2,254,435,-181,CT,452
219,Triple Box,Yuurih,2,7,-5,258,497,-239,T,452
220,Snipers Nest,Yuurih,5,5,0,567,529,38,CT,452
221,Snipers Nest,Yuurih,5,8,-3,518,864,-346,T,452
222,Deep Catwalk,Yuurih,2,2,0,136,191,-55,CT,452
223,Deep Catwalk,Yuurih,10,3,7,988,632,356,T,452
224,Market Window Peek,Yuurih,3,6,-3,357,683,-326,CT,452
225,Market Window Peek,Yuurih,0,1,-1,0,16,-16,T,452
226,Leftside Connector,Yuurih,3,4,-1,554,485,69,CT,452
227,Leftside Connector,Yuurih,3,2,1,285,201,84,T,452
228,Ladder Room Catwalk Side,Yuurih,2,0,2,304,89,215,CT,452
229,Ladder Room Catwalk Side,Yuurih,3,1,2,300,74,226,T,452
230,Underpass,Yuurih,5,3,2,520,378,142,CT,452
231,Underpass,Yuurih,1,4,-3,277,615,-338,T,452
232,CT Side Apps,Yuurih,0,0,0,0,0,0,CT,452
233,CT Side Apps,Yuurih,2,8,-6,603,1113,-510,T,452
234,Under balcony,Yuurih,7,4,3,816,517,299,CT,452
235,Under balcony,Yuurih,0,3,-3,24,264,-240,T,452
236,Tetris,Yuurih,5,3,2,399,273,126,CT,452
237,Tetris,Yuurih,0,4,-4,44,318,-274,T,452
238,Close Market door,Yuurih,8,3,5,492,319,173,CT,452
239,Close Market door,Yuurih,4,1,3,365,181,184,T,452
240,Right Side Connector,Yuurih,1,2,-1,196,220,-24,CT,452
241,Right Side Connector,Yuurih,1,3,-2,236,466,-230,T,452
242,Close Left CT A Ramp,Yuurih,1,4,-3,296,404,-108,CT,452
243,Close Left CT A Ramp,Yuurih,1,3,-2,310,319,-9,T,452
244,Back B Site Peeking Apps/Plat,Yuurih,0,0,0,0,52,-52,CT,452
245,Back B Site Peeking Apps/Plat,Yuurih,5,6,-1,549,773,-224,T,452
246,Top Mid,Yuurih,8,2,6,808,292,516,CT,452
247,Top Mid,Yuurih,1,3,-2,55,210,-155,T,452
248,market,Yuurih,2,3,-1,295,427,-132,CT,452
249,market,Yuurih,2,1,1,208,153,55,T,452
250,B Bombsite Cross to Catwalk,Yuurih,1,2,-1,73,154,-81,CT,452
251,B Bombsite Cross to Catwalk,Yuurih,11,3,8,991,405,586,T,452
252,Bench,Yuurih,2,1,1,325,102,223,CT,452
253,Bench,Yuurih,0,2,-2,44,170,-126,T,452
254,Left Side Platform,Yuurih,0,1,-1,0,27,-27,CT,452
255,Left Side Platform,Yuurih,3,4,-1,470,556,-86,T,452
256,Right Side Snipers Nest,Yuurih,1,1,0,101,69,32,CT,452
257,Right Side Snipers Nest,Yuurih,0,5,-5,87,461,-374,T,452
258,Top Connector,Yuurih,3,1,2,342,130,212,CT,452
259,Top Connector,Yuurih,1,4,-3,127,545,-418,T,452
260,CT Catwalk,Yuurih,2,0,2,171,68,103,CT,452
261,CT Catwalk,Yuurih,1,3,-2,164,220,-56,T,452
262,Catwalk Connector Peek,Yuurih,1,1,0,98,152,-54,CT,452
263,Catwalk Connector Peek,Yuurih,0,2,-2,93,253,-160,T,452
264,Arch,Yuurih,1,2,-1,63,297,-234,CT,452
265,Arch,Yuurih,4,1,3,190,93,97,T,452
266,Deep T Apps,Yuurih,0,1,-1,0,100,-100,CT,452
267,Deep T Apps,Yuurih,2,4,-2,262,417,-155,T,452
268,Ninja,Yuurih,2,7,-5,434,650,-216,CT,452
269,Ninja,Yuurih,0,0,0,0,3,-3,T,452
270,Murder Hole,Yuurih,1,1,0,117,125,-8,CT,452
271,Murder Hole,Yuurih,0,2,-2,0,200,-200,T,452
272,T Spawn A Ramp,Yuurih,0,0,0,0,0,0,CT,452
273,T Spawn A Ramp,Yuurih,2,0,2,83,128,-45,T,452
274,Snipers Palace Peek,Yuurih,2,1,1,239,238,1,CT,452
275,Snipers Palace Peek,Yuurih,6,1,5,542,290,252,T,452
276,CT Spawn,Yuurih,1,1,0,54,121,-67,CT,452
277,CT Spawn,Yuurih,0,0,0,0,22,-22,T,452
278,CT Deep Catwalk Mid peek,Yuurih,3,2,1,460,297,163,CT,452
279,CT Deep Catwalk Mid peek,Yuurih,1,1,0,174,196,-22,T,452
280,Top STairs,Yuurih,3,1,2,248,209,39,CT,452
281,Top STairs,Yuurih,1,1,0,200,118,82,T,452
282,Bottom Connector,Yuurih,3,0,3,440,181,259,CT,452
283,Bottom Connector,Yuurih,1,4,-3,254,457,-203,T,452
284,Catwalk T Aparments Peek,Yuurih,2,1,1,203,22,181,CT,452
285,Catwalk T Aparments Peek,Yuurih,6,1,5,408,239,169,T,452
286,B site Market Plant,Yuurih,1,0,1,100,0,100,CT,452
287,B site Market Plant,Yuurih,2,2,0,154,93,61,T,452
288,Firebox,Yuurih,1,2,-1,159,113,46,CT,452
289,Firebox,Yuurih,0,0,0,0,0,0,T,452
290,Sandwhich,Yuurih,1,3,-2,281,263,18,CT,452
291,Sandwhich,Yuurih,1,3,-2,100,251,-151,T,452
292,Deep T Apps Underpass STairs,Yuurih,0,0,0,0,0,0,CT,452
293,Deep T Apps Underpass STairs,Yuurih,3,3,0,312,347,-35,T,452
294,Deep Palace,Yuurih,4,1,3,294,28,266,CT,452
295,Deep Palace,Yuurih,2,0,2,200,22,178,T,452
296,Connector behind box,Yuurih,4,0,4,455,3,452,CT,452
297,Connector behind box,Yuurih,5,3,2,247,208,39,T,452
298,Balcony Boaxes,Yuurih,4,2,2,521,282,239,CT,452
299,Balcony Boaxes,Yuurih,1,1,0,100,102,-2,T,452
300,Inside Market Doors,Yuurih,3,3,0,305,305,0,CT,452
301,Inside Market Doors,Yuurih,0,0,0,0,0,0,T,452
302,CT Outside Market,Yuurih,0,1,-1,36,11,25,CT,452
303,CT Outside Market,Yuurih,2,1,1,164,81,83,T,452
304,B Site Default Plant,Yuurih,0,0,0,0,0,0,CT,452
305,B Site Default Plant,Yuurih,1,1,0,205,128,77,T,452
306,Underneath B apps plat,Yuurih,0,0,0,0,0,0,CT,452
307,Underneath B apps plat,Yuurih,3,3,0,305,222,83,T,452
308,Bottom Mid Ladder Room Peek,Yuurih,0,0,0,0,78,-78,CT,452
309,Bottom Mid Ladder Room Peek,Yuurih,3,2,1,399,532,-133,T,452
310,Back Right B Site from T's Perspective,Yuurih,1,0,1,74,0,74,CT,452
311,Back Right B Site from T's Perspective,Yuurih,0,0,0,29,3,26,T,452
312,Top Mid Catwalk,Yuurih,0,0,0,39,0,39,CT,452
313,Top Mid Catwalk,Yuurih,1,0,1,167,73,94,T,452
314,Top Mid towards Apps,Yuurih,0,0,0,0,0,0,CT,452
315,Top Mid towards Apps,Yuurih,2,3,-1,204,399,-195,T,452
316,Register Market,Yuurih,0,1,-1,0,50,-50,CT,452
317,Register Market,Yuurih,0,0,0,0,0,0,T,452
318,Forest,Yuurih,0,0,0,27,0,27,CT,452
319,Forest,Yuurih,0,2,-2,81,169,-88,T,452
320,Back Left B Site From T's' Perspective,Yuurih,1,1,0,177,100,77,CT,452
321,Back Left B Site From T's' Perspective,Yuurih,0,0,0,60,61,-1,T,452
322,Top Mid Boxes Left Side Peek,Yuurih,0,0,0,0,0,0,CT,452
323,Top Mid Boxes Left Side Peek,Yuurih,2,2,0,185,182,3,T,452
324,CT Left Side,Yuurih,2,0,2,191,89,102,CT,452
325,CT Left Side,Yuurih,0,1,-1,53,89,-36,T,452
326,Deep CT,Yuurih,2,1,1,283,172,111,CT,452
327,Deep CT,Yuurih,4,0,4,431,105,326,T,452
328,T Deep apps,Yuurih,0,0,0,0,0,0,CT,452
329,T Deep apps,Yuurih,0,1,-1,0,100,-100,T,452
330,Catwalk Plant B Site,Yuurih,0,0,0,0,0,0,CT,452
331,Catwalk Plant B Site,Yuurih,2,2,0,200,152,48,T,452
332,Jungle Plant,Yuurih,0,0,0,0,54,-54,CT,452
333,Jungle Plant,Yuurih,2,1,1,226,150,76,T,452
334,Left Side corner deep jungle,Yuurih,4,1,3,385,100,285,CT,452
335,Left Side corner deep jungle,Yuurih,2,1,1,110,149,-39,T,452
336,T Deep Apps Underpass/Apps Peek,Yuurih,0,0,0,0,0,0,CT,452
337,T Deep Apps Underpass/Apps Peek,Yuurih,5,0,5,456,152,304,T,452
338,Top Mid Right Side,Yuurih,0,0,0,0,0,0,CT,452
339,Top Mid Right Side,Yuurih,3,2,1,343,213,130,T,452
340,Middle Bench,Yuurih,1,0,1,61,0,61,CT,452
341,Middle Bench,Yuurih,2,1,1,170,81,89,T,452
342,Bench Closer to Tribox,Yuurih,0,1,-1,42,55,-13,CT,452
343,Bench Closer to Tribox,Yuurih,0,1,-1,27,13,14,T,452
344,Close Market Window,Yuurih,0,1,-1,22,30,-8,CT,452
345,Close Market Window,Yuurih,0,0,0,0,0,0,T,452
346,Stairs Palace Peek,Yuurih,1,1,0,276,122,154,CT,452
347,Stairs Palace Peek,Yuurih,0,0,0,0,0,0,T,452
348,Close Right Market Window,Yuurih,1,0,1,45,0,45,CT,452
349,Close Right Market Window,Yuurih,1,0,1,78,22,56,T,452
350,Safe Plant B Site,Yuurih,0,0,0,0,0,0,CT,452
351,Safe Plant B Site,Yuurih,0,1,-1,27,58,-31,T,452
352,T Spawn,Yuurih,0,1,-1,0,100,-100,CT,452
353,T Spawn,Yuurih,0,0,0,0,0,0,T,452
354,Top Van,Yuurih,0,0,0,0,0,0,CT,452
355,Top Van,Yuurih,0,1,-1,22,100,-78,T,452
356,Apartments Right CT Corner,Yuurih,0,0,0,0,0,0,CT,452
357,Apartments Right CT Corner,Yuurih,0,0,0,0,1,-1,T,452
358,FrontEntrance,Yuurih,0,0,0,0,29,-29,CT,452
359,FrontEntrance,Yuurih,0,1,-1,0,201,-201,T,452
360,Flowerpot CT,Yuurih,0,0,0,0,0,0,CT,452
361,Flowerpot CT,Yuurih,0,0,0,0,0,0,T,452
362,Top Mid Boxes Right Side Peek,Yuurih,0,0,0,0,0,0,CT,452
363,Top Mid Boxes Right Side Peek,Yuurih,0,0,0,14,0,14,T,452
364,Van Barrel Peek,Yuurih,0,0,0,0,0,0,CT,452
365,Van Barrel Peek,Yuurih,0,0,0,47,0,47,T,452
366,Elevated Snipers Awp Peek,Yuurih,0,0,0,9,14,-5,CT,452
367,Elevated Snipers Awp Peek,Yuurih,0,1,-1,0,38,-38,T,452
368,Bottom Mid Boosting Snipers,Yuurih,0,0,0,0,3,-3,CT,452
369,Bottom Mid Boosting Snipers,Yuurih,1,0,1,100,0,100,T,452
370,T Apps TV,Yuurih,1,1,0,140,100,40,CT,452
371,T Apps TV,Yuurih,0,0,0,5,9,-4,T,452
372,BigOffice,Yuurih,0,1,-1,0,100,-100,CT,452
373,BigOffice,Yuurih,0,0,0,0,0,0,T,452
374,Mid Close Connector,Art,5,9,-4,596,866,-270,CT,452
375,Mid Close Connector,Art,2,9,-7,302,999,-697,T,452
376,Underpass,Art,21,19,2,2381,2277,104,CT,452
377,Underpass,Art,0,3,-3,136,439,-303,T,452
378,Deep Catwalk,Art,6,7,-1,935,960,-25,CT,452
379,Deep Catwalk,Art,6,10,-4,575,854,-279,T,452
380,Snipers Nest,Art,16,9,7,1765,1137,628,CT,452
381,Snipers Nest,Art,2,9,-7,520,939,-419,T,452
382,Top Mid,Art,5,4,1,789,436,353,CT,452
383,Top Mid,Art,3,7,-4,460,886,-426,T,452
384,Ticketbooth ,Art,10,9,1,1209,1050,159,CT,452
385,Ticketbooth ,Art,4,3,1,384,267,117,T,452
386,Top Mid Left Side,Art,0,0,0,0,0,0,CT,452
387,Top Mid Left Side,Art,1,9,-8,175,1571,-1396,T,452
388,Bottom Stairs,Art,7,9,-2,818,878,-60,CT,452
389,Bottom Stairs,Art,4,4,0,403,515,-112,T,452
390,CT Catwalk,Art,3,8,-5,423,756,-333,CT,452
391,CT Catwalk,Art,3,6,-3,344,593,-249,T,452
392,Deep Jungle,Art,12,6,6,1094,473,621,CT,452
393,Deep Jungle,Art,5,7,-2,507,556,-49,T,452
394,Top Mid Catwalk,Art,1,5,-4,261,532,-271,CT,452
395,Top Mid Catwalk,Art,5,9,-4,717,996,-279,T,452
396,Default A,Art,2,2,0,143,232,-89,CT,452
397,Default A,Art,2,3,-1,310,303,7,T,452
